FlatId | FlatNum | Building | Floor | Area | Rooms | Price | SPrice | Status | Date
627 | 39 | Дом №3 | 2 | 84,88 | 3 | 9727568 | 114603,80 | В продаже | 2023-07-20
646 | 42 | Дом №3 | 3 | 84,85 | 3 | 9723924 | 114601,30 | В продаже | 2023-07-20
651 | 30 | Дом №3 | 4 | 45,48 | 2 | 6312551 | 138798,40 | В продаже | 2023-07-20
650 | 45 | Дом №3 | 4 | 114,81 | 3 | 13146342 | 114505,20 | В продаже | 2023-07-20
669 | 36 | Дом №4 | 1 | 41,59 | 1 | 5870780 | 141158,50 | В продаже | 2023-07-20
680 | 8 | Дом №4 | 2 | 58,29 | 2 | 7990000 | 137073,30 | В продаже | 2023-07-20
689 | 9 | Дом №4 | 3 | 41,57 | 1 | 4990000 | 120038,50 | В продаже | 2023-07-20
696 | 26 | Дом №4 | 3 | 32,77 | 1 | 4790000 | 146170,30 | В продаже | 2023-07-20
692 | 41 | Дом №4 | 3 | 35,95 | 1 | 5000000 | 139082,10 | В продаже | 2023-07-20
708 | 13 | Дом №4 | 4 | 56,38 | 2 | 8092074 | 143527,40 | В продаже | 2023-07-20
699 | 29 | Дом №4 | 4 | 54,91 | 2 | 8476745 | 154375,30 | В продаже | 2023-07-20
700 | 16 | Дом №4 | 4 | 79,36 | 3 | 8950449 | 112782,90 | В продаже | 2023-07-20
701 | 32 | Дом №4 | 4 | 79,23 | 3 | 8934438 | 112765,80 | В продаже | 2023-07-20
720 | 36 | Дом №5 | 1 | 41,47 | 1 | 5870780 | 141566,90 | В продаже | 2023-07-20
730 | 39 | Дом №5 | 2 | 84,67 | 3 | 9727568 | 114888,00 | В продаже | 2023-07-20
738 | 11 | Дом №5 | 3 | 35,6 | 1 | 4815000 | 135252,80 | В продаже | 2023-07-20
736 | 27 | Дом №5 | 3 | 35,74 | 1 | 5000000 | 139899,30 | В продаже | 2023-07-20
740 | 42 | Дом №5 | 3 | 84,85 | 3 | 10804360 | 127334,80 | В продаже | 2023-07-20
751 | 30 | Дом №5 | 4 | 45,41 | 2 | 6312551 | 139012,40 | В продаже | 2023-07-20
749 | 45 | Дом №5 | 4 | 114,65 | 3 | 13146342 | 114665,00 | В продаже | 2023-07-20
803 | 3 | Дом №6 | 1 | 38,93 | 1 | 5444646 | 139857,30 | В продаже | 2023-07-20
798 | 34 | Дом №6 | 1 | 38,93 | 1 | 5444646 | 139857,30 | В продаже | 2023-07-20
795 | 36 | Дом №6 | 1 | 41,47 | 1 | 5870780 | 141566,90 | В продаже | 2023-07-20
788 | 22 | Дом №6 | 2 | 32,77 | 1 | 4390000 | 133964,00 | В продаже | 2023-07-20
779 | 9 | Дом №6 | 3 | 41,57 | 1 | 4850000 | 116670,70 | В продаже | 2023-07-20
760 | 29 | Дом №6 | 4 | 54,77 | 2 | 8476745 | 154769,90 | В продаже | 2023-07-20
763 | 16 | Дом №6 | 4 | 80,54 | 3 | 8950449 | 111130,50 | В продаже | 2023-07-20
821 | 17 | Дом №7 | 1 | 38,09 | 1 | 5870780 | 154129,20 | В продаже | 2023-07-20
816 | 19 | Дом №7 | 1 | 38,93 | 1 | 5444646 | 139857,30 | В продаже | 2023-07-20
839 | 41 | Дом №7 | 3 | 35,74 | 1 | 4490000 | 125629,50 | В продаже | 2023-07-20
843 | 12 | Дом №7 | 3 | 58,37 | 2 | 7690000 | 131745,80 | В продаже | 2023-07-20
848 | 43 | Дом №7 | 4 | 79,31 | 2 | 8934438 | 112652,10 | В продаже | 2023-07-20
855 | 45 | Дом №7 | 4 | 114,65 | 3 | 13146342 | 114665,00 | В продаже | 2023-07-20
884 | 9 | Дом №8 | 3 | 41,57 | 1 | 5534829 | 133144,80 | В продаже | 2023-07-20
893 | 13 | Дом №8 | 4 | 56,38 | 2 | 7321400 | 129858,10 | В продаже | 2023-07-20
914 | 3 | Дом №9 | 1 | 38,99 | 1 | 5402585 | 138563,30 | В продаже | 2023-07-20
915 | 4 | Дом №9 | 1 | 41,63 | 1 | 5408354 | 129914,80 | В продаже | 2023-07-20
917 | 18 | Дом №9 | 1 | 32,77 | 1 | 4973450 | 151768,40 | В продаже | 2023-07-20
918 | 19 | Дом №9 | 1 | 38,99 | 1 | 5402585 | 138563,30 | В продаже | 2023-07-20
919 | 20 | Дом №9 | 1 | 41,7 | 1 | 5408354 | 129696,70 | В продаже | 2023-07-20
924 | 34 | Дом №9 | 1 | 32,74 | 1 | 4968910 | 151768,80 | В продаже | 2023-07-20
921 | 35 | Дом №9 | 1 | 38,99 | 1 | 5402585 | 138563,30 | В продаже | 2023-07-20
922 | 36 | Дом №9 | 1 | 41,61 | 1 | 5405590 | 129910,80 | В продаже | 2023-07-20
959 | 50 | Дом №9 | 1 | 38,99 | 1 | 5402585 | 138563,30 | В продаже | 2023-07-20
960 | 51 | Дом №9 | 1 | 41,44 | 1 | 5592526 | 134954,80 | В продаже | 2023-07-20
925 | 5 | Дом №9 | 2 | 41,65 | 1 | 5810135 | 139499,00 | В продаже | 2023-07-20
927 | 7 | Дом №9 | 2 | 35,74 | 1 | 5281839 | 147785,10 | В продаже | 2023-07-20
930 | 22 | Дом №9 | 2 | 32,77 | 1 | 4973450 | 151768,40 | В продаже | 2023-07-20
931 | 23 | Дом №9 | 2 | 35,74 | 1 | 5281839 | 147785,10 | В продаже | 2023-07-20
934 | 38 | Дом №9 | 2 | 32,74 | 1 | 4968910 | 151768,80 | В продаже | 2023-07-20
935 | 39 | Дом №9 | 2 | 35,74 | 1 | 5281839 | 147785,10 | В продаже | 2023-07-20
963 | 54 | Дом №9 | 2 | 35,74 | 1 | 5281839 | 147785,10 | В продаже | 2023-07-20
928 | 8 | Дом №9 | 2 | 57,89 | 2 | 6935297 | 119801,30 | В продаже | 2023-07-20
932 | 24 | Дом №9 | 2 | 57,98 | 2 | 6937795 | 119658,40 | В продаже | 2023-07-20
936 | 40 | Дом №9 | 2 | 57,86 | 2 | 6931549 | 119798,60 | В продаже | 2023-07-20
962 | 53 | Дом №9 | 2 | 57,86 | 2 | 6931549 | 119798,60 | В продаже | 2023-07-20
937 | 9 | Дом №9 | 3 | 41,61 | 1 | 5804229 | 139491,20 | В продаже | 2023-07-20
938 | 10 | Дом №9 | 3 | 37,3 | 1 | 5432209 | 145635,60 | В продаже | 2023-07-20
939 | 11 | Дом №9 | 3 | 35,74 | 1 | 5281839 | 147785,10 | В продаже | 2023-07-20
942 | 26 | Дом №9 | 3 | 32,77 | 1 | 4973450 | 151768,40 | В продаже | 2023-07-20
946 | 42 | Дом №9 | 3 | 32,74 | 1 | 4968910 | 151768,80 | В продаже | 2023-07-20
947 | 43 | Дом №9 | 3 | 35,74 | 1 | 5281839 | 147785,10 | В продаже | 2023-07-20
967 | 57 | Дом №9 | 3 | 35,74 | 1 | 5281839 | 147785,10 | В продаже | 2023-07-20
940 | 12 | Дом №9 | 3 | 57,89 | 2 | 6935297 | 119801,30 | В продаже | 2023-07-20
944 | 28 | Дом №9 | 3 | 57,98 | 2 | 6937795 | 119658,40 | В продаже | 2023-07-20
965 | 44 | Дом №9 | 3 | 57,84 | 2 | 6929050 | 119796,90 | В продаже | 2023-07-20
968 | 58 | Дом №9 | 3 | 84,74 | 3 | 10318248 | 121763,60 | В продаже | 2023-07-20
948 | 13 | Дом №9 | 4 | 56,49 | 2 | 7573687 | 134071,30 | В продаже | 2023-07-20
950 | 15 | Дом №9 | 4 | 48,4 | 2 | 6386294 | 131948,20 | В продаже | 2023-07-20
952 | 29 | Дом №9 | 4 | 54,92 | 2 | 6827602 | 124319,00 | В продаже | 2023-07-20
953 | 30 | Дом №9 | 4 | 45,48 | 2 | 6223344 | 136836,90 | В продаже | 2023-07-20
956 | 45 | Дом №9 | 4 | 55,01 | 2 | 6831179 | 124180,70 | В продаже | 2023-07-20
957 | 46 | Дом №9 | 4 | 45,45 | 2 | 6217659 | 136802,20 | В продаже | 2023-07-20
958 | 47 | Дом №9 | 4 | 48,4 | 2 | 6386294 | 131948,20 | В продаже | 2023-07-20
971 | 60 | Дом №9 | 4 | 48,4 | 2 | 6386294 | 131948,20 | В продаже | 2023-07-20
951 | 16 | Дом №9 | 4 | 78,96 | 3 | 9137465 | 115722,70 | В продаже | 2023-07-20
955 | 32 | Дом №9 | 4 | 79,11 | 3 | 9140758 | 115544,90 | В продаже | 2023-07-20
969 | 48 | Дом №9 | 4 | 78,84 | 3 | 9122644 | 115710,90 | В продаже | 2023-07-20
972 | 61 | Дом №9 | 4 | 113,61 | 3 | 12761635 | 112328,40 | В продаже | 2023-07-20
